name,status,species,type,gender,origin_name,location_name,image,url,episode_count
Shmlamantha Shmlicelli,Alive,Human,,Female,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/314.jpeg,https://rickandmortyapi.com/api/character/314,1
Shmlangela Shmlobinson-Shmlower,Alive,Human,,Female,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/315.jpeg,https://rickandmortyapi.com/api/character/315,1
Shmlona Shmlobinson,Alive,Human,,Female,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/316.jpeg,https://rickandmortyapi.com/api/character/316,1
Shmlonathan Shmlower,Alive,Human,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/317.jpeg,https://rickandmortyapi.com/api/character/317,1
Shmlony Shmlicelli,Alive,Human,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/318.jpeg,https://rickandmortyapi.com/api/character/318,1
Shmooglite Runner,unknown,Alien,Animal,Male,Resort Planet,Resort Planet,https://rickandmortyapi.com/api/character/avatar/319.jpeg,https://rickandmortyapi.com/api/character/319,1
Shnoopy Bloopers,unknown,Alien,,Male,unknown,Immortality Field Resort,https://rickandmortyapi.com/api/character/avatar/320.jpeg,https://rickandmortyapi.com/api/character/320,1
Shrimply Pibbles,Alive,Alien,,Male,unknown,St. Gloopy Noops Hospital,https://rickandmortyapi.com/api/character/avatar/321.jpeg,https://rickandmortyapi.com/api/character/321,1
Simple Rick,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/322.jpeg,https://rickandmortyapi.com/api/character/322,1
Slaveowner,Dead,Human,,Male,Post-Apocalyptic Earth,Post-Apocalyptic Earth,https://rickandmortyapi.com/api/character/avatar/323.jpeg,https://rickandmortyapi.com/api/character/323,1
Sleepy Gary,Dead,Alien,Parasite,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/324.jpeg,https://rickandmortyapi.com/api/character/324,1
Slick Morty,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/325.jpeg,https://rickandmortyapi.com/api/character/325,1
Slippery Stair,Alive,Mythological Creature,Slug,Male,Fantasy World,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/326.jpeg,https://rickandmortyapi.com/api/character/326,2
Slow Mobius,Alive,Humanoid,,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/327.jpeg,https://rickandmortyapi.com/api/character/327,1
Slow Rick,Alive,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/328.jpeg,https://rickandmortyapi.com/api/character/328,1
Snuffles (Snowball),Alive,Animal,Dog,Male,Earth (C-137),unknown,https://rickandmortyapi.com/api/character/avatar/329.jpeg,https://rickandmortyapi.com/api/character/329,8
Solicitor Rick,unknown,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/330.jpeg,https://rickandmortyapi.com/api/character/330,2
Squanchy,unknown,Alien,Cat-Person,Male,Planet Squanch,Planet Squanch,https://rickandmortyapi.com/api/character/avatar/331.jpeg,https://rickandmortyapi.com/api/character/331,3
Stacy,Alive,Human,,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/332.jpeg,https://rickandmortyapi.com/api/character/332,1
Stair Goblin,Alive,Mythological Creature,Stair goblin,Genderless,unknown,Fantasy World,https://rickandmortyapi.com/api/character/avatar/333.jpeg,https://rickandmortyapi.com/api/character/333,3
Stealy,Alive,Poopybutthole,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/334.jpeg,https://rickandmortyapi.com/api/character/334,1
Steve,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/335.jpeg,https://rickandmortyapi.com/api/character/335,1
Steven Phillips,Alive,Alien,Unknown-nippled alien,Male,Unity's Planet,Unity's Planet,https://rickandmortyapi.com/api/character/avatar/336.jpeg,https://rickandmortyapi.com/api/character/336,1
Stu,Dead,Alien,Zigerion,Male,unknown,Zigerion's Base,https://rickandmortyapi.com/api/character/avatar/337.jpeg,https://rickandmortyapi.com/api/character/337,1
Summer Smith,Alive,Human,,Female,Earth (C-137),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/338.jpeg,https://rickandmortyapi.com/api/character/338,7
Summer Smith,Alive,Human,,Female,Earth (Evil Rick's Target Dimension),Earth (Evil Rick's Target Dimension),https://rickandmortyapi.com/api/character/avatar/339.jpeg,https://rickandmortyapi.com/api/character/339,1
Supernova,Alive,Human,Superhuman,Female,unknown,Worldender's lair,https://rickandmortyapi.com/api/character/avatar/340.jpeg,https://rickandmortyapi.com/api/character/340,1
Taddy Mason,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/341.jpeg,https://rickandmortyapi.com/api/character/341,1
Taint Washer,Alive,Human,,Male,Post-Apocalyptic Earth,Post-Apocalyptic Earth,https://rickandmortyapi.com/api/character/avatar/342.jpeg,https://rickandmortyapi.com/api/character/342,1
Tammy Guetermann,Alive,Cronenberg,,Female,Earth (C-137),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/343.jpeg,https://rickandmortyapi.com/api/character/343,2
Tammy Guetermann,Dead,Human,,Female,Earth (Replacement Dimension),NX-5 Planet Remover,https://rickandmortyapi.com/api/character/avatar/344.jpeg,https://rickandmortyapi.com/api/character/344,5
Teacher Rick,Alive,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/345.jpeg,https://rickandmortyapi.com/api/character/345,1
Terry,unknown,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/346.jpeg,https://rickandmortyapi.com/api/character/346,1
President Curtis,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/347.jpeg,https://rickandmortyapi.com/api/character/347,5
The President of the Miniverse,Dead,Humanoid,Miniverse inhabitant,Male,Zeep Xanflorp's Miniverse,Zeep Xanflorp's Miniverse,https://rickandmortyapi.com/api/character/avatar/348.jpeg,https://rickandmortyapi.com/api/character/348,1
The Scientist Formerly Known as Rick,Dead,Human,,Male,unknown,unknown,https://rickandmortyapi.com/api/character/avatar/349.jpeg,https://rickandmortyapi.com/api/character/349,1
Thomas Lipkip,unknown,Human,,Male,Earth (Replacement Dimension),Froopyland,https://rickandmortyapi.com/api/character/avatar/350.jpeg,https://rickandmortyapi.com/api/character/350,1
Three Unknown Things,Alive,Alien,,unknown,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/351.jpeg,https://rickandmortyapi.com/api/character/351,1
Tinkles,Dead,Alien,Parasite,Female,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/352.jpeg,https://rickandmortyapi.com/api/character/352,1
Tiny Rick,Dead,Human,Clone,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/353.jpeg,https://rickandmortyapi.com/api/character/353,1
Toby Matthews,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/354.jpeg,https://rickandmortyapi.com/api/character/354,1
Todd Crystal,Alive,Alien,Unknown-nippled alien,Male,Unity's Planet,Unity's Planet,https://rickandmortyapi.com/api/character/avatar/355.jpeg,https://rickandmortyapi.com/api/character/355,1
Tom Randolph,Alive,Human,,Male,Earth (C-137),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/356.jpeg,https://rickandmortyapi.com/api/character/356,1
Tommy's Clone,Alive,Human,Clone,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/357.jpeg,https://rickandmortyapi.com/api/character/357,1
Tophat Jones,Dead,Mythological Creature,Leprechaun,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/358.jpeg,https://rickandmortyapi.com/api/character/358,3
Tortured Morty,unknown,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/359.jpeg,https://rickandmortyapi.com/api/character/359,1
Toxic Morty,Dead,Humanoid,Morty's toxic side,Male,Detoxifier,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/360.jpeg,https://rickandmortyapi.com/api/character/360,1
Toxic Rick,Dead,Humanoid,Rick's toxic side,Male,Detoxifier,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/361.jpeg,https://rickandmortyapi.com/api/character/361,1
Traflorkian,Alive,Alien,Traflorkian,unknown,unknown,Worldender's lair,https://rickandmortyapi.com/api/character/avatar/362.jpeg,https://rickandmortyapi.com/api/character/362,5
Trandor,Alive,Alien,Krootabulan,Male,Krootabulon,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/363.jpeg,https://rickandmortyapi.com/api/character/363,1
Tree Person,Dead,Humanoid,Teenyverse inhabitant,unknown,Kyle's Teenyverse,Kyle's Teenyverse,https://rickandmortyapi.com/api/character/avatar/364.jpeg,https://rickandmortyapi.com/api/character/364,1
Tricia Lange,Alive,Human,,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/365.jpeg,https://rickandmortyapi.com/api/character/365,5
Trunk Morty,Alive,Humanoid,Trunk-Person,Male,Trunk World,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/366.jpeg,https://rickandmortyapi.com/api/character/366,1
Trunk Man,Alive,Humanoid,Trunk-Person,Male,Trunk World,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/367.jpeg,https://rickandmortyapi.com/api/character/367,2
Truth Tortoise,unknown,Mythological Creature,Omniscient being,Male,unknown,unknown,https://rickandmortyapi.com/api/character/avatar/368.jpeg,https://rickandmortyapi.com/api/character/368,1
Tusked Assassin,unknown,Alien,Tuskfish,Male,Resort Planet,Resort Planet,https://rickandmortyapi.com/api/character/avatar/369.jpeg,https://rickandmortyapi.com/api/character/369,1
Two Guys with Handlebar Mustaches,Alive,Human,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/370.jpeg,https://rickandmortyapi.com/api/character/370,1
Tumblorkian,Alive,Alien,Tumblorkian,Male,Plopstar,Plopstar,https://rickandmortyapi.com/api/character/avatar/371.jpeg,https://rickandmortyapi.com/api/character/371,1
Unity,Alive,Alien,Hivemind,Genderless,unknown,Unity's Planet,https://rickandmortyapi.com/api/character/avatar/372.jpeg,https://rickandmortyapi.com/api/character/372,1
Unmuscular Michael,Alive,Human,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/373.jpeg,https://rickandmortyapi.com/api/character/373,1
Vampire Master,Alive,Mythological Creature,Vampire,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/374.jpeg,https://rickandmortyapi.com/api/character/374,1
Vance Maximus,Dead,Human,,Male,unknown,Worldender's lair,https://rickandmortyapi.com/api/character/avatar/375.jpeg,https://rickandmortyapi.com/api/character/375,1
Veronica Ann Bennet,Alive,Alien,Gazorpian,Female,Gazorpazorp,Gazorpazorp,https://rickandmortyapi.com/api/character/avatar/376.jpeg,https://rickandmortyapi.com/api/character/376,1
Voltematron,Dead,Alien,Parasite,unknown,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/377.jpeg,https://rickandmortyapi.com/api/character/377,1
Wall Crawling Rick,unknown,Humanoid,Lizard-Person,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/378.jpeg,https://rickandmortyapi.com/api/character/378,1
Wedding Bartender,unknown,Alien,,Male,unknown,Planet Squanch,https://rickandmortyapi.com/api/character/avatar/379.jpeg,https://rickandmortyapi.com/api/character/379,1
Unknown Rick,unknown,Human,,Male,unknown,unknown,https://rickandmortyapi.com/api/character/avatar/380.jpeg,https://rickandmortyapi.com/api/character/380,2
Woman Rick,Alive,Alien,Chair,Female,unknown,unknown,https://rickandmortyapi.com/api/character/avatar/381.jpeg,https://rickandmortyapi.com/api/character/381,1
Worldender,Dead,Alien,,Male,unknown,Worldender's lair,https://rickandmortyapi.com/api/character/avatar/382.jpeg,https://rickandmortyapi.com/api/character/382,1
Yaarb,Alive,Alien,,Male,unknown,St. Gloopy Noops Hospital,https://rickandmortyapi.com/api/character/avatar/383.jpeg,https://rickandmortyapi.com/api/character/383,1
Yellow Headed Doctor,Alive,Alien,,Male,unknown,St. Gloopy Noops Hospital,https://rickandmortyapi.com/api/character/avatar/384.jpeg,https://rickandmortyapi.com/api/character/384,1
Yellow Shirt Rick,unknown,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/385.jpeg,https://rickandmortyapi.com/api/character/385,1
Zarbadar Gloonch,Dead,Alien,Drumbloxian,Female,unknown,Nuptia 4,https://rickandmortyapi.com/api/character/avatar/386.jpeg,https://rickandmortyapi.com/api/character/386,2
Zarbadar's Mytholog,unknown,Mythological Creature,Mytholog,Female,Nuptia 4,Nuptia 4,https://rickandmortyapi.com/api/character/avatar/387.jpeg,https://rickandmortyapi.com/api/character/387,1
Zeep Xanflorp,Alive,Humanoid,Microverse inhabitant,Male,Rick's Battery Microverse,Rick's Battery Microverse,https://rickandmortyapi.com/api/character/avatar/388.jpeg,https://rickandmortyapi.com/api/character/388,1
Zeta Alpha Rick,Dead,Human,,Male,unknown,Rick's Memories,https://rickandmortyapi.com/api/character/avatar/389.jpeg,https://rickandmortyapi.com/api/character/389,4
Zick Zack,Dead,Alien,Floop Floopian,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/390.jpeg,https://rickandmortyapi.com/api/character/390,1
Uncle Steve,Dead,Alien,Parasite,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/391.jpeg,https://rickandmortyapi.com/api/character/391,1
Bearded Morty,Alive,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/392.jpeg,https://rickandmortyapi.com/api/character/392,2
Roy,Alive,Human,Game,Male,Roy: A Life Well Lived,Roy: A Life Well Lived,https://rickandmortyapi.com/api/character/avatar/393.jpeg,https://rickandmortyapi.com/api/character/393,1
Davin,Dead,Cronenberg,,Male,Earth (C-137),Earth (C-137),https://rickandmortyapi.com/api/character/avatar/394.jpeg,https://rickandmortyapi.com/api/character/394,2
Greebybobe,Alive,Alien,Greebybobe,unknown,Girvonesk,Worldender's lair,https://rickandmortyapi.com/api/character/avatar/395.jpeg,https://rickandmortyapi.com/api/character/395,4
Scary Teacher,Alive,Mythological Creature,Monster,Male,Mr. Goldenfold's dream,Mr. Goldenfold's dream,https://rickandmortyapi.com/api/character/avatar/396.jpeg,https://rickandmortyapi.com/api/character/396,1
Fido,Alive,Animal,Dog,Male,Snuffles' Dream,Snuffles' Dream,https://rickandmortyapi.com/api/character/avatar/397.jpeg,https://rickandmortyapi.com/api/character/397,1
Accountant dog,Alive,Animal,Dog,Male,Snuffles' Dream,Snuffles' Dream,https://rickandmortyapi.com/api/character/avatar/398.jpeg,https://rickandmortyapi.com/api/character/398,1
Tiny-persons advocacy group lawyer,Alive,Mythological Creature,Giant,Male,Giant's Town,Giant's Town,https://rickandmortyapi.com/api/character/avatar/399.jpeg,https://rickandmortyapi.com/api/character/399,1
Giant Judge,Alive,Mythological Creature,Giant,Male,Giant's Town,Giant's Town,https://rickandmortyapi.com/api/character/avatar/400.jpeg,https://rickandmortyapi.com/api/character/400,1
Morty Jr's interviewer,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/401.jpeg,https://rickandmortyapi.com/api/character/401,1
Guy from The Bachelor,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/402.jpeg,https://rickandmortyapi.com/api/character/402,1
Corn detective,Dead,Humanoid,Corn-person,Male,Interdimensional Cable,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/403.jpeg,https://rickandmortyapi.com/api/character/403,1
Michael Jackson,Alive,Humanoid,Phone-Person,Male,Earth (Phone Dimension),Earth (Phone Dimension),https://rickandmortyapi.com/api/character/avatar/404.jpeg,https://rickandmortyapi.com/api/character/404,1
Trunkphobic suspenders guy,Alive,Human,,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/405.jpeg,https://rickandmortyapi.com/api/character/405,4
Spiderweb teddy bear,Alive,Animal,Teddy Bear,unknown,Interdimensional Cable,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/406.jpeg,https://rickandmortyapi.com/api/character/406,1
Regular Tyrion Lannister,Alive,Human,,Male,Interdimensional Cable,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/407.jpeg,https://rickandmortyapi.com/api/character/407,1
Quick Mystery Presenter,Alive,Human,,Male,Interdimensional Cable,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/408.jpeg,https://rickandmortyapi.com/api/character/408,1
Mr. Sneezy,Alive,Human,Little Human,Male,Interdimensional Cable,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/409.jpeg,https://rickandmortyapi.com/api/character/409,1
Two Brothers,Alive,Human,,Male,Interdimensional Cable,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/410.jpeg,https://rickandmortyapi.com/api/character/410,1
Alien Mexican Armada,unknown,Alien,Mexican,Male,Interdimensional Cable,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/411.jpeg,https://rickandmortyapi.com/api/character/411,1
Giant Cat Monster,unknown,Animal,Giant Cat Monster,unknown,Interdimensional Cable,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/412.jpeg,https://rickandmortyapi.com/api/character/412,1
Old Women,unknown,Human,Old Amazons,Female,Interdimensional Cable,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/413.jpeg,https://rickandmortyapi.com/api/character/413,1
Trunkphobic guy,Alive,Human,,Male,Interdimensional Cable,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/414.jpeg,https://rickandmortyapi.com/api/character/414,1
Pro trunk people marriage guy,Alive,Human,,Male,Interdimensional Cable,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/415.jpeg,https://rickandmortyapi.com/api/character/415,1
Muscular Mannie,Alive,Human,Mannie,Male,Interdimensional Cable,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/416.jpeg,https://rickandmortyapi.com/api/character/416,1
Baby Legs Chief,Alive,Human,,Male,Interdimensional Cable,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/417.jpeg,https://rickandmortyapi.com/api/character/417,1
Mrs. Sullivan's Boyfriend,Alive,Human,Necrophiliac,Male,Interdimensional Cable,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/418.jpeg,https://rickandmortyapi.com/api/character/418,1
Plutonian Hostess,Alive,Alien,Plutonian,Female,Pluto,Pluto,https://rickandmortyapi.com/api/character/avatar/419.jpeg,https://rickandmortyapi.com/api/character/419,1
Plutonian Host,Alive,Alien,Plutonian,Male,Pluto,Pluto,https://rickandmortyapi.com/api/character/avatar/420.jpeg,https://rickandmortyapi.com/api/character/420,1
Rich Plutonian,Alive,Alien,Plutonian,Female,Pluto,Pluto,https://rickandmortyapi.com/api/character/avatar/421.jpeg,https://rickandmortyapi.com/api/character/421,1
Rich Plutonian,Alive,Alien,Plutonian,Male,Pluto,Pluto,https://rickandmortyapi.com/api/character/avatar/422.jpeg,https://rickandmortyapi.com/api/character/422,1
Synthetic Laser Eels,Alive,Animal,Eel,unknown,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/423.jpeg,https://rickandmortyapi.com/api/character/423,1
Pizza-person,Alive,Humanoid,Pizza,Male,Earth (Pizza Dimension),Earth (Pizza Dimension),https://rickandmortyapi.com/api/character/avatar/424.jpeg,https://rickandmortyapi.com/api/character/424,1
Pizza-person,Alive,Humanoid,Pizza,Male,Earth (Pizza Dimension),Earth (Pizza Dimension),https://rickandmortyapi.com/api/character/avatar/425.jpeg,https://rickandmortyapi.com/api/character/425,1
Greasy Grandma,Alive,Human,Grandma,Female,Greasy Grandma World,Greasy Grandma World,https://rickandmortyapi.com/api/character/avatar/426.jpeg,https://rickandmortyapi.com/api/character/426,1
Phone-person,Alive,Humanoid,Phone,Male,Earth (Phone Dimension),Earth (Phone Dimension),https://rickandmortyapi.com/api/character/avatar/427.jpeg,https://rickandmortyapi.com/api/character/427,1
Phone-person,Alive,Humanoid,Phone,Male,Earth (Phone Dimension),Earth (Phone Dimension),https://rickandmortyapi.com/api/character/avatar/428.jpeg,https://rickandmortyapi.com/api/character/428,1
Chair-person,Alive,Humanoid,Chair,Male,Earth (Chair Dimension),Earth (Chair Dimension),https://rickandmortyapi.com/api/character/avatar/429.jpeg,https://rickandmortyapi.com/api/character/429,1
Chair-person,Alive,Humanoid,Chair,Male,Earth (Chair Dimension),Earth (Chair Dimension),https://rickandmortyapi.com/api/character/avatar/430.jpeg,https://rickandmortyapi.com/api/character/430,1
Chair-homeless,Alive,Humanoid,Chair,Male,Earth (Chair Dimension),Earth (Chair Dimension),https://rickandmortyapi.com/api/character/avatar/431.jpeg,https://rickandmortyapi.com/api/character/431,1
Chair-waiter,Alive,Humanoid,Chair,Male,Earth (Chair Dimension),Earth (Chair Dimension),https://rickandmortyapi.com/api/character/avatar/432.jpeg,https://rickandmortyapi.com/api/character/432,1
Doopidoo,Alive,Animal,Doopidoo,unknown,unknown,unknown,https://rickandmortyapi.com/api/character/avatar/433.jpeg,https://rickandmortyapi.com/api/character/433,1
Super Weird Rick,unknown,Human,,Male,unknown,unknown,https://rickandmortyapi.com/api/character/avatar/434.jpeg,https://rickandmortyapi.com/api/character/434,1
Pripudlian,Alive,Alien,Pripudlian,unknown,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/435.jpeg,https://rickandmortyapi.com/api/character/435,4
Giant Testicle Monster,Alive,Alien,,unknown,Testicle Monster Dimension,Testicle Monster Dimension,https://rickandmortyapi.com/api/character/avatar/436.jpeg,https://rickandmortyapi.com/api/character/436,2
Michael,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/437.jpeg,https://rickandmortyapi.com/api/character/437,1
Michael's Lawyer,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/438.jpeg,https://rickandmortyapi.com/api/character/438,1
Veterinary,Alive,Human,,Female,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/439.jpeg,https://rickandmortyapi.com/api/character/439,1
Veterinary Nurse,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/440.jpeg,https://rickandmortyapi.com/api/character/440,1
Bearded Jerry,Alive,Human,,Male,unknown,Jerryboree,https://rickandmortyapi.com/api/character/avatar/441.jpeg,https://rickandmortyapi.com/api/character/441,1
Shaved Head Jerry,Alive,Human,,Male,unknown,Jerryboree,https://rickandmortyapi.com/api/character/avatar/442.jpeg,https://rickandmortyapi.com/api/character/442,1
Tank Top Jerry,Alive,Human,,Male,unknown,Jerryboree,https://rickandmortyapi.com/api/character/avatar/443.jpeg,https://rickandmortyapi.com/api/character/443,1
Pink Polo Shirt Jerry,Alive,Human,,Male,unknown,Jerryboree,https://rickandmortyapi.com/api/character/avatar/444.jpeg,https://rickandmortyapi.com/api/character/444,1
Jerryboree Keeper,Alive,Alien,,Female,unknown,Jerryboree,https://rickandmortyapi.com/api/character/avatar/445.jpeg,https://rickandmortyapi.com/api/character/445,1
Jerryboree Receptionist,Alive,Alien,,Male,unknown,Jerryboree,https://rickandmortyapi.com/api/character/avatar/446.jpeg,https://rickandmortyapi.com/api/character/446,1
Anchor Gear,Alive,Alien,Gear-Person,Male,Gear World,Gear World,https://rickandmortyapi.com/api/character/avatar/447.jpeg,https://rickandmortyapi.com/api/character/447,1
Gear Cop,Dead,Alien,Gear-Person,Male,Gear World,Gear World,https://rickandmortyapi.com/api/character/avatar/448.jpeg,https://rickandmortyapi.com/api/character/448,1
Roy's Mum,Alive,Human,Game,Female,Roy: A Life Well Lived,Roy: A Life Well Lived,https://rickandmortyapi.com/api/character/avatar/449.jpeg,https://rickandmortyapi.com/api/character/449,1
Roy's Wife,Alive,Human,Game,Male,Roy: A Life Well Lived,Roy: A Life Well Lived,https://rickandmortyapi.com/api/character/avatar/450.jpeg,https://rickandmortyapi.com/api/character/450,1
Roy's Son,Alive,Human,Game,Male,Roy: A Life Well Lived,Roy: A Life Well Lived,https://rickandmortyapi.com/api/character/avatar/451.jpeg,https://rickandmortyapi.com/api/character/451,1
Simon,Alive,Human,,Male,Earth (Replacement Dimension),Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/452.jpeg,https://rickandmortyapi.com/api/character/452,1
Vampire Master's Assistant,Alive,Mythological Creature,Vampire,Male,unknown,Earth (Replacement Dimension),https://rickandmortyapi.com/api/character/avatar/453.jpeg,https://rickandmortyapi.com/api/character/453,1
Arbolian Mentirososian,Alive,Alien,,unknown,Árboles Mentirosos,St. Gloopy Noops Hospital,https://rickandmortyapi.com/api/character/avatar/454.jpeg,https://rickandmortyapi.com/api/character/454,3
St. Gloopy Noops Nurse,Alive,Alien,,Female,unknown,St. Gloopy Noops Hospital,https://rickandmortyapi.com/api/character/avatar/455.jpeg,https://rickandmortyapi.com/api/character/455,1
Nano Doctor,Alive,Alien,Nano Alien,Male,unknown,St. Gloopy Noops Hospital,https://rickandmortyapi.com/api/character/avatar/456.jpeg,https://rickandmortyapi.com/api/character/456,1
Funny Songs Presenter,Alive,Human,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/457.jpeg,https://rickandmortyapi.com/api/character/457,1
Tax Attorney,unknown,Human,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/458.jpeg,https://rickandmortyapi.com/api/character/458,1
Butthole Ice Cream Guy,Alive,Alien,,Male,unknown,Interdimensional Cable,https://rickandmortyapi.com/api/character/avatar/459.jpeg,https://rickandmortyapi.com/api/character/459,1
Traflorkian Journalist,Alive,Alien,Traflorkian,Male,unknown,St. Gloopy Noops Hospital,https://rickandmortyapi.com/api/character/avatar/460.jpeg,https://rickandmortyapi.com/api/character/460,1
Communication's Responsible Rick,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/461.jpeg,https://rickandmortyapi.com/api/character/461,1
Teleportation's Responsible Rick,unknown,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/462.jpeg,https://rickandmortyapi.com/api/character/462,1
SEAL Team Rick,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/463.jpeg,https://rickandmortyapi.com/api/character/463,1
SEAL Team Rick,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/464.jpeg,https://rickandmortyapi.com/api/character/464,1
SEAL Team Rick,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/465.jpeg,https://rickandmortyapi.com/api/character/465,1
SEAL Team Rick,Dead,Human,,Male,unknown,Citadel of Ricks,https://rickandmortyapi.com/api/character/avatar/466.jpeg,https://rickandmortyapi.com/api/character/466,1
